age,interest,pid,sex,race
84,1,Repubican,Male,Non-Whte
36,3,Repubican,Female,White
43,1,Repubican,Female,White
52,1,Independent,Female,White
52,1,Repubican,Female,White
74,1,Democrat,Male,Non-Whte
43,3,Independent,Female,Non-Whte
43,1,Democrat,Male,Non-Whte
77,1,Democrat,Female,Non-Whte
54,1,Repubican,Male,White
47,1,Democrat,Male,White
70,2,Repubican,Female,White
70,1,Independent,Female,White
61,1,Independent,Male,White
53,1,Democrat,Male,White
42,1,Independent,Female,White
42,4,Independent,Male,White
40,1,Repubican,Male,Non-Whte
85,1,Repubican,Male,White
42,3,Repubican,Female,White
49,1,Independent,Male,White
38,1,Repubican,Female,White
43,2,Democrat,Male,White
26,3,Independent,Male,White
38,1,Independent,Female,White
69,1,Independent,Female,White
32,4,Independent,Male,White
36,4,Independent,Female,Non-Whte
43,2,Repubican,Male,White
54,1,Repubican,Male,White
24,1,Democrat,Male,White
57,1,Democrat,Male,Non-Whte
40,3,Independent,Female,White
53,3,Independent,Male,Non-Whte
84,3,Democrat,Male,White
47,4,Independent,Female,White
64,1,Democrat,Female,White
55,1,Independent,Male,White
130,1,Independent,Female,Non-Whte
64,1,Democrat,Male,White
61,1,Democrat,Female,White
66,1,Democrat,Female,White
48,1,Independent,Male,White
28,1,Repubican,Male,White
50,1,Repubican,Female,White
87,1,Independent,Female,White
38,1,Independent,Male,White
46,2,Democrat,Female,White
33,1,Repubican,Female,White
37,1,Democrat,Male,White
64,2,Democrat,Female,Non-Whte
50,1,Independent,Male,White
80,1,Repubican,Male,White
32,3,Repubican,Female,White
130,2,Democrat,Male,White
38,2,Independent,Male,White
33,1,Democrat,Male,White
49,1,Repubican,Female,White
81,1,Independent,Male,White
74,1,Independent,Male,White
44,3,Repubican,Male,White
30,2,Independent,Female,White
77,3,Independent,Male,White
50,2,Repubican,Male,White
41,1,Democrat,Male,White
52,4,Repubican,Female,White
31,2,Democrat,Female,White
55,1,Independent,Male,Non-Whte
75,1,Repubican,Male,White
37,4,Independent,Male,White
46,1,Repubican,Male,White
50,1,Repubican,Female,White
86,2,Democrat,Male,White
37,4,Independent,Female,White
72,1,Democrat,Female,White
59,1,Independent,Male,White
29,1,Repubican,Female,White
67,1,Repubican,Male,White
54,1,Repubican,Female,White
26,2,Democrat,Female,White
46,1,Repubican,Male,White
33,2,Repubican,Female,White
55,1,Repubican,Female,White
76,1,Democrat,Male,Non-Whte
61,3,Repubican,Female,White
86,1,Democrat,Female,White
130,1,Independent,Male,Non-Whte
18,1,Repubican,Male,White
28,1,Independent,Female,White
36,1,Democrat,Male,Non-Whte
40,1,Repubican,Male,White
21,2,Independent,Female,White
40,1,Independent,Female,White
31,2,Democrat,Male,White
130,1,Independent,Male,Non-Whte
41,2,Independent,Male,White
69,1,Democrat,Female,White
42,1,Democrat,Female,Non-Whte
22,1,Repubican,Male,White
49,1,Repubican,Female,White
34,3,Democrat,Female,White
66,1,Democrat,Female,Non-Whte
64,1,Independent,Male,White
58,1,Democrat,Female,Non-Whte
65,1,Independent,Female,Non-Whte
58,1,Independent,Female,White
34,2,Repubican,Female,White
29,2,Democrat,Female,Non-Whte
38,1,Democrat,Female,White
80,1,Independent,Female,White
37,1,Democrat,Female,Non-Whte
39,1,Independent,Female,White
33,1,Democrat,Female,White
33,1,Democrat,Female,White
35,1,Democrat,Female,Non-Whte
46,3,Repubican,Male,White
33,1,Repubican,Female,Non-Whte
51,2,Democrat,Female,Non-Whte
50,1,Democrat,Male,Non-Whte
48,1,Independent,Male,White
53,4,Democrat,Female,Non-Whte
62,1,Repubican,Female,White
21,3,Independent,Male,Non-Whte
67,NA,Independent,Female,Non-Whte
29,2,Independent,Male,White
58,1,Independent,Female,White
41,1,Independent,Female,White
71,1,Independent,Female,White
65,1,Democrat,Male,White
49,1,Independent,Male,White
38,1,Repubican,Male,White
79,NA,Independent,Female,White
80,1,Democrat,Male,White
31,2,Repubican,Female,White
27,3,Independent,Male,White
83,1,Democrat,Female,White
44,2,Independent,Male,White
86,1,Democrat,Male,White
60,2,Independent,Male,White
41,1,Repubican,Female,White
44,2,Independent,Female,White
48,1,Repubican,Female,White
20,2,Democrat,Female,White
55,3,Independent,Male,White
27,1,Repubican,Female,White
69,1,Democrat,Male,White
32,2,Independent,Male,White
60,4,Democrat,Female,White
32,2,Repubican,Male,White
37,2,Democrat,Female,White
45,3,Democrat,Female,White
64,1,Independent,Male,White
34,3,Independent,Female,White
55,1,Independent,Male,White
56,1,Repubican,Male,White
29,2,Independent,Male,Non-Whte
35,1,Independent,Male,White
58,1,Repubican,Female,White
26,2,Independent,Female,White
84,1,Democrat,Female,White
43,1,Democrat,Female,Non-Whte
58,2,Repubican,Male,White
27,2,Repubican,Female,Non-Whte
130,3,Independent,Female,Non-Whte
35,2,Democrat,Female,Non-Whte
46,4,Independent,Female,White
36,4,Repubican,Female,White
57,1,Repubican,Female,White
32,2,Democrat,Male,White
22,2,Democrat,Male,White
46,2,Repubican,Female,White
36,4,Independent,Male,Non-Whte
34,1,Repubican,Female,White
82,1,Democrat,Male,White
79,2,Democrat,Female,White
67,1,Repubican,Female,White
51,2,Independent,Female,White
55,2,Democrat,Male,Non-Whte
36,1,Repubican,Male,White
56,1,Democrat,Female,White
55,4,Democrat,Female,White
19,1,Independent,Male,White
51,1,Repubican,Male,White
53,1,Democrat,Male,Non-Whte
33,1,Repubican,Male,White
72,2,Independent,Male,White
76,4,Repubican,Male,White
48,3,Democrat,Female,Non-Whte
64,1,Independent,Female,White
40,2,Democrat,Male,Non-Whte
44,3,Repubican,Female,White
69,1,Independent,Female,Non-Whte
89,1,Democrat,Female,White
66,1,Democrat,Female,Non-Whte
70,1,Independent,Female,White
54,1,Democrat,Female,White
22,1,Repubican,Female,White
59,1,Independent,Male,White
51,1,Democrat,Male,White
48,2,Democrat,Female,Non-Whte
63,1,Democrat,Male,White
72,1,Democrat,Male,White
67,1,Independent,Male,White
41,1,Independent,Male,White
55,3,Independent,Male,White
45,1,Independent,Female,White
74,1,Independent,Male,White
24,1,Repubican,Female,White
25,4,Independent,Female,Non-Whte
45,4,Independent,Male,White
28,3,Independent,Male,White
74,1,Independent,Male,White
49,1,Independent,Female,Non-Whte
18,2,Repubican,Male,White
48,2,Independent,Male,White
47,1,Repubican,Female,White
46,1,Repubican,Male,White
130,4,Independent,Female,White
44,1,Repubican,Male,Non-Whte
130,1,Independent,Female,Non-Whte
39,1,Independent,Male,White
44,1,Democrat,Male,White
57,4,Independent,Male,White
45,1,Democrat,Female,White
52,4,Democrat,Female,Non-Whte
39,3,Democrat,Female,Non-Whte
58,1,Independent,Male,White
41,2,Independent,Male,White
35,1,Repubican,Male,White
66,2,Repubican,Female,White
27,2,Independent,Female,White
82,2,Independent,Female,White
130,1,Independent,Male,Non-Whte
26,3,Independent,Male,White
